,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total,payment,cogs,gross_margin_percentage,gross_income,rating,date_time
50,616-24-2851,B,Mandalay,Member,Female,Fashion Accessories,17.87,4,3.574,75.05,Ewallet,71.48,4.761904762,3.574,6.5,2019-03-22 14:42:00
51,778-71-5554,C,Naypyitaw,Member,Male,Fashion Accessories,15.43,1,0.7715,16.2,Credit Card,15.43,4.761904762,0.7715,6.1,2019-01-25 15:46:00
52,242-55-6721,B,Mandalay,Normal,Male,Home And Lifestyle,16.16,2,1.616,33.94,Ewallet,32.32,4.761904762,1.616,6.5,2019-03-07 11:49:00
53,399-46-5918,C,Naypyitaw,Normal,Female,Electronic Accessories,85.98,8,34.392,722.23,Cash,687.84,4.761904762,34.392,8.2,2019-02-28 19:01:00
54,106-35-6779,A,Yangon,Member,Male,Home And Lifestyle,44.34,2,4.434,93.11,Cash,88.68,4.761904762,4.434,5.8,2019-03-27 11:26:00
55,635-40-6220,A,Yangon,Normal,Male,Health And Beauty,89.6,8,35.84,752.64,Ewallet,716.8,4.761904762,35.84,6.6,2019-02-07 11:28:00
56,817-48-8732,A,Yangon,Member,Female,Home And Lifestyle,72.35,10,36.175,759.68,Cash,723.5,4.761904762,36.175,5.4,2019-01-20 15:55:00
57,120-06-4233,C,Naypyitaw,Normal,Male,Electronic Accessories,30.61,6,9.183,192.84,Cash,183.66,4.761904762,9.183,9.3,2019-03-12 20:36:00
58,803-83-5989,C,Naypyitaw,Normal,Male,Home And Lifestyle,55.73,6,16.719,351.1,Ewallet,334.38,4.761904762,16.719,7.0,2019-02-24 10:55:00
59,199-75-8169,A,Yangon,Unknown,Unknown,Miscellaneous,15.81,10,7.905,235.45,Unknown,158.1,4.761904762,7.905,6.9,2019-03-06 12:27:00
60,853-23-2453,B,Mandalay,Member,Male,Health And Beauty,75.74,4,15.148,318.11,Cash,302.96,4.761904762,15.148,7.6,2019-02-14 14:35:00
61,877-22-3308,A,Yangon,Member,Male,Health And Beauty,15.87,10,7.935,166.64,Cash,158.7,4.761904762,7.935,5.8,2019-03-13 16:40:00
62,838-78-4295,C,Naypyitaw,Normal,Female,Health And Beauty,33.47,2,3.347,70.29,Ewallet,66.94,4.761904762,3.347,6.7,2019-02-10 15:43:00
63,109-28-2512,B,Mandalay,Member,Female,Fashion Accessories,97.61,6,29.283,614.94,Ewallet,585.66,4.761904762,29.283,9.9,2019-01-07 15:01:00
64,382-03-4532,A,Yangon,Member,Female,Health And Beauty,18.33,1,0.9165,19.25,Cash,18.33,4.761904762,0.9165,4.3,2019-02-02 18:50:00
65,796-12-2025,C,Naypyitaw,Normal,Male,Fashion Accessories,62.12,10,31.06,652.26,Cash,621.2,4.761904762,31.06,5.9,2019-02-11 16:19:00
66,510-95-6347,B,Mandalay,Member,Female,Food And Beverages,48.52,3,7.278,152.84,Ewallet,145.56,4.761904762,7.278,4.0,2019-03-05 18:17:00
67,841-35-6630,C,Naypyitaw,Unknown,Unknown,Miscellaneous,75.91,6,22.773,235.45,Unknown,455.46,4.761904762,22.773,6.9,2019-03-09 18:21:00
68,287-21-9091,A,Yangon,Normal,Male,Home And Lifestyle,74.67,9,33.6015,705.63,Ewallet,672.03,4.761904762,33.6015,9.4,2019-01-22 10:55:00
69,732-94-0499,C,Naypyitaw,Normal,Female,Electronic Accessories,41.65,10,20.825,437.32,Credit Card,416.5,4.761904762,20.825,5.4,2019-01-13 17:04:00
70,263-10-3913,C,Naypyitaw,Unknown,Unknown,Miscellaneous,49.04,9,22.068,235.45,Unknown,441.36,4.761904762,22.068,6.9,2019-01-09 14:20:00
71,381-20-0914,A,Yangon,Member,Female,Fashion Accessories,20.01,9,9.0045,189.09,Credit Card,180.09,4.761904762,9.0045,5.7,2019-01-12 15:48:00
72,829-49-1914,C,Naypyitaw,Member,Female,Food And Beverages,78.31,10,39.155,822.26,Ewallet,783.1,4.761904762,39.155,6.6,2019-03-05 16:24:00
73,756-01-7507,C,Naypyitaw,Normal,Female,Health And Beauty,20.38,5,5.095,107.0,Cash,101.9,4.761904762,5.095,6.0,2019-01-22 18:56:00
74,870-72-4431,C,Naypyitaw,Normal,Female,Health And Beauty,99.19,6,29.757,624.9,Credit Card,595.14,4.761904762,29.757,5.5,2019-01-21 14:42:00
75,847-38-7188,B,Mandalay,Normal,Female,Food And Beverages,96.68,3,14.502,304.54,Ewallet,290.04,4.761904762,14.502,6.4,2019-01-26 19:56:00
76,480-63-2856,C,Naypyitaw,Unknown,Unknown,Miscellaneous,19.25,8,7.7,235.45,Unknown,154.0,4.761904762,7.7,6.9,2019-01-23 18:37:00
77,787-56-0757,C,Naypyitaw,Member,Female,Food And Beverages,80.36,4,16.072,337.51,Credit Card,321.44,4.761904762,16.072,8.3,2019-02-23 18:45:00
78,360-39-5055,C,Naypyitaw,Member,Male,Sports And Travel,48.91,5,12.2275,256.78,Cash,244.55,4.761904762,12.2275,6.6,2019-03-09 10:17:00
79,730-50-9884,C,Naypyitaw,Normal,Female,Sports And Travel,83.06,7,29.071,610.49,Ewallet,581.42,4.761904762,29.071,4.0,2019-03-05 14:31:00
80,362-58-8315,C,Naypyitaw,Normal,Male,Fashion Accessories,76.52,5,19.13,401.73,Cash,382.6,4.761904762,19.13,9.9,2019-03-25 10:23:00
81,633-44-8566,A,Yangon,Member,Male,Food And Beverages,49.38,7,17.283,362.94,Credit Card,345.66,4.761904762,17.283,7.3,2019-03-27 20:35:00
82,504-35-8843,A,Yangon,Normal,Male,Sports And Travel,42.47,1,2.1235,44.59,Cash,42.47,4.761904762,2.1235,5.7,2019-01-02 16:57:00
83,318-68-5053,B,Mandalay,Normal,Female,Health And Beauty,76.99,6,23.097,485.04,Cash,461.94,4.761904762,23.097,6.1,2019-02-27 17:55:00
84,565-80-5980,C,Naypyitaw,Member,Female,Home And Lifestyle,47.38,4,9.476,199.0,Cash,189.52,4.761904762,9.476,7.1,2019-01-23 10:25:00
85,225-32-0908,C,Naypyitaw,Normal,Female,Sports And Travel,44.86,10,22.43,471.03,Ewallet,448.6,4.761904762,22.43,8.2,2019-01-26 19:54:00
86,873-51-0671,A,Yangon,Member,Female,Sports And Travel,21.98,7,7.693,161.55,Ewallet,153.86,4.761904762,7.693,5.1,2019-01-10 16:42:00
87,152-08-9985,B,Mandalay,Member,Male,Health And Beauty,64.36,9,28.962,608.2,Credit Card,579.24,4.761904762,28.962,8.6,2019-03-12 12:09:00
88,512-91-0811,C,Naypyitaw,Normal,Male,Health And Beauty,89.75,1,4.4875,94.24,Credit Card,89.75,4.761904762,4.4875,6.6,2019-02-06 20:05:00
89,594-34-4444,A,Yangon,Normal,Male,Electronic Accessories,97.16,1,4.858,102.02,Ewallet,97.16,4.761904762,4.858,7.2,2019-03-08 20:38:00
90,871-39-9221,C,Naypyitaw,Normal,Female,Electronic Accessories,12.45,6,3.735,78.44,Cash,74.7,4.761904762,3.735,4.1,2019-02-09 13:11:00
91,865-92-6136,A,Yangon,Normal,Male,Food And Beverages,52.75,3,7.9125,166.16,Ewallet,158.25,4.761904762,7.9125,9.3,2019-03-23 10:16:00
92,733-01-9107,B,Mandalay,Normal,Male,Home And Lifestyle,82.7,6,24.81,521.01,Cash,496.2,4.761904762,24.81,7.4,2019-03-05 18:14:00
93,163-56-7055,C,Naypyitaw,Member,Male,Fashion Accessories,48.71,1,2.4355,51.15,Cash,48.71,4.761904762,2.4355,4.1,2019-03-26 19:20:00
94,189-98-2939,C,Naypyitaw,Normal,Male,Fashion Accessories,78.55,9,35.3475,742.3,Cash,706.95,4.761904762,35.3475,7.2,2019-03-01 13:22:00
95,551-21-3069,C,Naypyitaw,Normal,Female,Electronic Accessories,23.07,9,10.3815,218.01,Cash,207.63,4.761904762,10.3815,4.9,2019-02-01 11:27:00
96,212-62-1842,A,Yangon,Unknown,Unknown,Miscellaneous,58.26,6,17.478,235.45,Unknown,349.56,4.761904762,17.478,6.9,2019-03-28 16:44:00
97,716-39-1409,B,Mandalay,Normal,Male,Health And Beauty,30.35,7,10.6225,223.07,Cash,212.45,4.761904762,10.6225,8.0,2019-03-19 18:19:00
98,628-34-3388,C,Naypyitaw,Normal,Male,Fashion Accessories,27.38,6,8.214,172.49,Credit Card,164.28,4.761904762,8.214,7.9,2019-01-05 20:54:00
99,630-74-5166,A,Yangon,Normal,Male,Sports And Travel,62.13,6,18.639,391.42,Cash,372.78,4.761904762,18.639,7.4,2019-03-22 20:19:00
100,588-01-7461,C,Naypyitaw,Normal,Female,Food And Beverages,33.98,9,15.291,321.11,Cash,305.82,4.761904762,15.291,4.2,2019-03-24 10:43:00
101,479-26-8945,B,Mandalay,Member,Female,Sports And Travel,16.49,2,1.649,34.63,Ewallet,32.98,4.761904762,1.649,4.6,2019-02-05 11:32:00
102,210-67-5886,C,Naypyitaw,Member,Female,Health And Beauty,98.21,3,14.7315,309.36,Credit Card,294.63,4.761904762,14.7315,7.8,2019-02-05 10:41:00
103,227-78-1148,B,Mandalay,Normal,Female,Fashion Accessories,72.84,7,25.494,535.37,Cash,509.88,4.761904762,25.494,8.4,2019-02-15 12:44:00
104,645-44-1170,A,Yangon,Member,Male,Home And Lifestyle,58.07,9,26.1315,548.76,Ewallet,522.63,4.761904762,26.1315,4.3,2019-01-19 20:07:00
105,237-01-6122,C,Naypyitaw,Member,Female,Home And Lifestyle,80.79,9,36.3555,763.47,Credit Card,727.11,4.761904762,36.3555,9.5,2019-02-01 20:31:00
106,225-98-1496,C,Naypyitaw,Normal,Female,Fashion Accessories,27.02,3,4.053,85.11,Credit Card,81.06,4.761904762,4.053,7.1,2019-03-02 13:01:00
107,291-32-1427,B,Mandalay,Member,Male,Fashion Accessories,21.94,5,5.485,115.18,Ewallet,109.7,4.761904762,5.485,5.3,2019-03-05 12:29:00
108,659-65-8956,B,Mandalay,Member,Male,Fashion Accessories,51.36,1,2.568,53.93,Ewallet,51.36,4.761904762,2.568,5.2,2019-01-16 15:26:00
109,642-32-2990,A,Yangon,Normal,Female,Food And Beverages,10.96,10,5.48,115.08,Ewallet,109.6,4.761904762,5.48,6.0,2019-02-02 20:48:00
110,378-24-2715,B,Mandalay,Normal,Male,Home And Lifestyle,53.44,2,5.344,112.22,Ewallet,106.88,4.761904762,5.344,4.1,2019-01-20 20:38:00
111,659-36-1684,C,Naypyitaw,Member,Male,Sports And Travel,57.12,7,19.992,419.83,Credit Card,399.84,4.761904762,19.992,6.5,2019-01-12 12:02:00
112,336-78-2147,C,Naypyitaw,Member,Male,Home And Lifestyle,63.91,8,25.564,536.84,Credit Card,511.28,4.761904762,25.564,4.6,2019-03-13 19:52:00
113,268-27-6179,B,Mandalay,Member,Female,Fashion Accessories,56.47,8,22.588,474.35,Ewallet,451.76,4.761904762,22.588,7.3,2019-03-09 14:57:00
114,668-90-8900,A,Yangon,Normal,Female,Home And Lifestyle,93.69,7,32.7915,688.62,Credit Card,655.83,4.761904762,32.7915,4.5,2019-03-10 18:44:00
115,870-54-3162,A,Yangon,Normal,Female,Sports And Travel,32.25,5,8.0625,169.31,Cash,161.25,4.761904762,8.0625,9.0,2019-01-27 13:26:00
116,189-08-9157,C,Naypyitaw,Normal,Female,Fashion Accessories,31.73,9,14.2785,299.85,Credit Card,285.57,4.761904762,14.2785,5.9,2019-01-08 16:17:00
117,663-86-9076,C,Naypyitaw,Member,Female,Food And Beverages,68.54,8,27.416,575.74,Ewallet,548.32,4.761904762,27.416,8.5,2019-01-08 15:57:00
118,191-10-6171,B,Mandalay,Normal,Female,Fashion Accessories,39.62,7,13.867,291.21,Cash,277.34,4.761904762,13.867,7.5,2019-01-25 13:18:00
119,802-70-5316,A,Yangon,Member,Female,Sports And Travel,92.13,6,27.639,580.42,Cash,552.78,4.761904762,27.639,8.3,2019-03-06 20:34:00
120,695-51-0018,B,Mandalay,Unknown,Unknown,Miscellaneous,34.84,4,6.968,235.45,Unknown,139.36,4.761904762,6.968,6.9,2019-02-10 18:36:00
121,590-83-4591,B,Mandalay,Member,Male,Electronic Accessories,87.45,6,26.235,550.93,Credit Card,524.7,4.761904762,26.235,8.8,2019-02-17 14:40:00
122,483-71-1164,C,Naypyitaw,Normal,Female,Health And Beauty,81.3,6,24.39,512.19,Ewallet,487.8,4.761904762,24.39,5.3,2019-03-08 16:43:00
123,597-78-7908,C,Naypyitaw,Normal,Male,Fashion Accessories,90.22,3,13.533,284.19,Cash,270.66,4.761904762,13.533,6.2,2019-02-18 19:39:00
124,700-81-1757,A,Yangon,Normal,Female,Electronic Accessories,26.31,5,6.5775,138.13,Credit Card,131.55,4.761904762,6.5775,8.8,2019-01-18 20:59:00
125,354-39-5160,A,Yangon,Member,Female,Home And Lifestyle,34.42,6,10.326,216.85,Cash,206.52,4.761904762,10.326,9.8,2019-02-18 15:39:00
126,241-72-9525,B,Mandalay,Normal,Male,Sports And Travel,51.91,10,25.955,545.05,Cash,519.1,4.761904762,25.955,8.2,2019-02-16 12:21:00
127,575-30-8091,A,Yangon,Normal,Male,Sports And Travel,72.5,8,29.0,609.0,Ewallet,580.0,4.761904762,29.0,9.2,2019-03-16 19:25:00
128,338-65-2210,C,Naypyitaw,Member,Female,Health And Beauty,68.6,10,34.3,720.3,Cash,686.0,4.761904762,34.3,9.1,2019-02-05 19:57:00
129,488-25-4221,C,Naypyitaw,Member,Female,Food And Beverages,30.41,1,1.5205,31.93,Credit Card,30.41,4.761904762,1.5205,8.4,2019-02-22 10:36:00
130,239-10-7476,A,Yangon,Normal,Female,Home And Lifestyle,77.95,6,23.385,491.08,Ewallet,467.7,4.761904762,23.385,8.0,2019-01-21 16:37:00
131,458-41-1477,C,Naypyitaw,Normal,Female,Health And Beauty,46.26,6,13.878,291.44,Credit Card,277.56,4.761904762,13.878,9.5,2019-03-08 17:11:00
132,685-64-1609,A,Yangon,Member,Female,Fashion Accessories,30.14,10,15.07,316.47,Ewallet,301.4,4.761904762,15.07,9.2,2019-02-10 12:28:00
133,568-90-5112,C,Naypyitaw,Normal,Male,Health And Beauty,66.14,4,13.228,277.79,Credit Card,264.56,4.761904762,13.228,5.6,2019-03-19 12:46:00
134,262-47-2794,B,Mandalay,Member,Male,Home And Lifestyle,71.86,8,28.744,603.62,Credit Card,574.88,4.761904762,28.744,6.2,2019-03-06 15:07:00
135,238-49-0436,A,Yangon,Normal,Male,Health And Beauty,32.46,8,12.984,272.66,Credit Card,259.68,4.761904762,12.984,4.9,2019-03-27 13:48:00
136,608-96-3517,B,Mandalay,Unknown,Unknown,Miscellaneous,91.54,4,18.308,235.45,Unknown,366.16,4.761904762,18.308,6.9,2019-03-23 19:20:00
137,584-86-7256,C,Naypyitaw,Member,Male,Sports And Travel,34.56,7,12.096,254.02,Credit Card,241.92,4.761904762,12.096,7.3,2019-03-11 16:07:00
138,746-94-0204,A,Yangon,Normal,Male,Fashion Accessories,83.24,9,37.458,786.62,Credit Card,749.16,4.761904762,37.458,7.4,2019-01-29 11:56:00
139,214-17-6927,C,Naypyitaw,Normal,Female,Food And Beverages,16.48,6,4.944,103.82,Ewallet,98.88,4.761904762,4.944,9.9,2019-02-07 18:23:00
140,400-89-4171,C,Naypyitaw,Normal,Female,Sports And Travel,80.97,8,32.388,680.15,Cash,647.76,4.761904762,32.388,9.3,2019-01-28 13:05:00
141,782-95-9291,A,Yangon,Member,Male,Food And Beverages,92.29,5,23.0725,484.52,Credit Card,461.45,4.761904762,23.0725,9.0,2019-02-20 15:55:00
142,279-74-2924,B,Mandalay,Member,Male,Electronic Accessories,72.17,1,3.6085,75.78,Cash,72.17,4.761904762,3.6085,6.1,2019-01-04 19:40:00
143,307-85-2293,B,Mandalay,Normal,Male,Home And Lifestyle,50.28,5,12.57,263.97,Ewallet,251.4,4.761904762,12.57,9.7,2019-03-07 13:58:00
144,894-41-5205,C,Naypyitaw,Normal,Female,Food And Beverages,43.18,8,17.272,362.71,Credit Card,345.44,4.761904762,17.272,8.3,2019-01-19 19:39:00
145,275-28-0149,A,Yangon,Normal,Male,Sports And Travel,63.69,1,3.1845,66.87,Cash,63.69,4.761904762,3.1845,6.0,2019-02-25 16:21:00
146,101-17-6199,A,Yangon,Normal,Male,Food And Beverages,45.79,7,16.0265,336.56,Credit Card,320.53,4.761904762,16.0265,7.0,2019-03-13 19:44:00
147,423-80-0988,C,Naypyitaw,Normal,Male,Sports And Travel,76.4,2,7.64,160.44,Ewallet,152.8,4.761904762,7.64,6.5,2019-01-30 19:42:00
148,548-46-9322,B,Mandalay,Normal,Male,Food And Beverages,39.9,10,19.95,418.95,Credit Card,399.0,4.761904762,19.95,5.9,2019-02-20 15:24:00
149,505-02-0892,B,Mandalay,Member,Male,Health And Beauty,42.57,8,17.028,357.59,Ewallet,340.56,4.761904762,17.028,5.6,2019-02-25 14:12:00
150,796-32-9050,A,Yangon,Normal,Male,Food And Beverages,51.28,6,15.384,323.06,Cash,307.68,4.761904762,15.384,6.5,2019-01-19 16:31:00
151,105-31-1824,A,Yangon,Member,Male,Sports And Travel,69.52,7,24.332,510.97,Credit Card,486.64,4.761904762,24.332,8.5,2019-02-01 15:10:00
152,249-42-3782,A,Yangon,Normal,Male,Health And Beauty,70.01,5,17.5025,367.55,Ewallet,350.05,4.761904762,17.5025,5.5,2019-01-03 11:36:00
153,316-55-4634,B,Mandalay,Member,Male,Food And Beverages,80.05,5,20.0125,420.26,Credit Card,400.25,4.761904762,20.0125,9.4,2019-01-26 12:45:00
154,733-33-4967,C,Naypyitaw,Normal,Male,Electronic Accessories,20.85,8,8.34,175.14,Cash,166.8,4.761904762,8.34,6.3,2019-03-03 19:17:00
155,608-27-6295,B,Mandalay,Member,Male,Electronic Accessories,52.89,6,15.867,333.21,Credit Card,317.34,4.761904762,15.867,9.8,2019-01-19 17:34:00
156,414-12-7047,B,Mandalay,Normal,Male,Food And Beverages,19.79,8,7.916,166.24,Ewallet,158.32,4.761904762,7.916,8.7,2019-01-18 12:04:00
157,827-26-2100,A,Yangon,Member,Male,Home And Lifestyle,33.84,9,15.228,319.79,Ewallet,304.56,4.761904762,15.228,8.8,2019-03-21 16:21:00
158,175-54-2529,A,Yangon,Member,Male,Food And Beverages,22.17,8,8.868,186.23,Credit Card,177.36,4.761904762,8.868,9.6,2019-03-03 17:01:00
159,139-52-2867,C,Naypyitaw,Normal,Female,Fashion Accessories,22.51,7,7.8785,165.45,Credit Card,157.57,4.761904762,7.8785,4.8,2019-02-13 10:50:00
160,407-63-8975,A,Yangon,Normal,Male,Food And Beverages,73.88,6,22.164,465.44,Ewallet,443.28,4.761904762,22.164,4.4,2019-03-23 19:16:00
161,342-65-4817,C,Naypyitaw,Member,Male,Health And Beauty,86.8,3,13.02,273.42,Ewallet,260.4,4.761904762,13.02,9.9,2019-01-28 16:47:00
162,130-98-8941,C,Naypyitaw,Normal,Male,Fashion Accessories,64.26,7,22.491,472.31,Cash,449.82,4.761904762,22.491,5.7,2019-02-09 10:00:00
163,434-83-9547,C,Naypyitaw,Member,Male,Food And Beverages,38.47,8,15.388,323.15,Cash,307.76,4.761904762,15.388,7.7,2019-01-23 11:51:00
164,851-28-6367,A,Yangon,Member,Male,Sports And Travel,15.5,10,7.75,162.75,Ewallet,155.0,4.761904762,7.75,8.0,2019-03-23 10:55:00
165,824-88-3614,C,Naypyitaw,Normal,Male,Health And Beauty,34.31,8,13.724,288.2,Ewallet,274.48,4.761904762,13.724,5.7,2019-01-25 15:00:00
